seed,n,p,k,a,rho,niter,family,file1,file2,file3,file4
13,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
14,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
15,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
16,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
17,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
18,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
19,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
20,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
21,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
22,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
23,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
24,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
25,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
26,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
27,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
